2,  0.001488743917105, 1.661148446575e-05
2,  2.832409223761e-07, 1.432721129735e-06
5,  0.000606000524426, 1.921508619285e-05
5,  1.825185458368e-07, 4.872006182488e-06
10,  0.0006106213709951, 3.905880918564e-05
10,  1.283373300741e-07, 9.016188525113e-06
50,  6.957144119467e-05, 9.529374798456e-05
50,  5.767824002588e-08, 9.947682107381e-06
100,  3.360794826566e-05, 8.236075950663e-05
100,  4.010125828563e-08, 4.033282236637e-06
150,  2.174347733314e-05, 2.735011948518e-05
150,  3.287819750387e-08, 2.544484386746e-06
200,  1.61584240033e-05, 8.075888780601e-05
200,  2.761709538965e-08, 3.783074838282e-06
250,  9.761397537957e-06, 6.860830826971e-05
250,  2.100994908749e-08, 1.170047747578e-07
300,  7.641665089708e-06, 5.051403527956e-05
300,  1.818938435451e-08, 2.245285420255e-06
350,  6.296149041111e-06, 3.306250100188e-05
350,  1.633544613774e-08, 6.809391787765e-06
400,  5.330562012104e-06, 5.043859066101e-05
400,  1.425174358516e-08, 2.596252664411e-06
450,  4.568114700005e-06, 2.659496532598e-05
450,  1.251506184272e-08, 9.055598813035e-07
400,  1.361269142619e-08, 1.406365661705e-06
500,  3.975547987063e-06, 6.693541587044e-05
500,  1.090425502307e-08, 3.580661378511e-06
550,  3.405257828309e-06, 7.996939957167e-05
550,  9.332091750418e-09, 8.29609482933e-06
600,  2.914908992293e-06, 7.953442825936e-05
600,  7.692119100623e-09, 2.163459915661e-06
650,  2.311197185676e-06, 7.75912278228e-05
650,  5.98488762078e-09, 3.977302471814e-06
700,  1.739386119368e-06, 4.089109643202e-05
700,  4.34746405574e-09, 4.521804703117e-06
750,  1.367278548115e-06, 7.319062835709e-05
750,  2.20216573059e-09, 9.28702909242e-07
800,  1.387825937847e-06, 3.900437919269e-05
800,  2.594030033449e-09, 2.872368389806e-06
810,  1.416491588796e-06, 9.309623165876e-05
810,  2.896849947627e-09, 6.266893110229e-06
820,  1.470097029349e-06, 5.502009059599e-05
820,  3.285685566658e-09, 3.165385102477e-06
830,  1.541799853255e-06, 7.493142139126e-05
830,  3.529912986338e-09, 5.043532565363e-06
840,  1.578734137627e-06, 5.057317603452e-05
840,  3.783484856224e-09, 1.271014184123e-06
850,  1.661877469406e-06, 4.19557349729e-05
850,  4.06019600924e-09, 7.533798051629e-06
860,  1.619932803766e-06, 1.044538047834e-05
860,  4.197744487683e-09, 9.673733463611e-06
870,  1.714202009993e-06, 6.852920505596e-05
870,  4.463689737466e-09, 8.946125254372e-06
880,  1.72642215249e-06, 7.557964932126e-05
880,  4.692345694868e-09, 6.141153248151e-06
890,  1.806645734403e-06, 0.0001113891450228
890,  4.889382344968e-09, 6.461600877028e-06
900,  1.825189661018e-06, 7.305307282568e-05
900,  5.045636968539e-09, 2.246579899889e-06
950,  1.843872978982e-06, 2.320664097333e-06
950,  5.69753497724e-09, 5.296046743375e-06
1000,  1.655655590883e-06, 5.002125268216e-06
1000,  5.975152582794e-09, 8.610473978266e-06
1100,  1.638543592408e-06, 6.721152341127e-05
1100,  6.326900433267e-09, 5.742754873417e-06
1200,  1.445632822025e-06, 3.357806922555e-05
1200,  6.18694136307e-09, 3.510945976171e-06
1300,  1.259766339565e-06, 9.011509669898e-05
1300,  6.854819129018e-09, 7.75233247241e-06
1400,  1.041640842151e-06, 5.453203974781e-05
1400,  8.408896363577e-09, 6.244968186131e-06
1500,  8.445901263212e-07, 5.254896251294e-05
1500,  1.064738602836e-08, 2.932067506123e-06
1600,  7.392341133312e-07, 3.719221761678e-07
1600,  1.355205014636e-08, 9.836803469554e-07
1700,  6.345589881326e-07, 2.468746969608e-05
1700,  1.609500070334e-08, 2.871674586569e-06
1800,  6.014298789667e-07, 2.995317963883e-06
1800,  1.92946097936e-08, 6.922364651274e-06
1900,  5.619995916371e-07, 1.463735451379e-05
1900,  2.338379526853e-08, 6.302119254009e-06
2000,  4.934964126262e-07, 2.15511921402e-05
2000,  2.673745089676e-08, 4.010300544977e-06
2100,  4.34140198014e-07, 2.116012058861e-05
2100,  3.019631867334e-08, 2.099828736668e-06
2200,  4.012166985828e-07, 1.256782162384e-05
2200,  3.376089879079e-08, 1.806245411462e-06
2300,  3.621053988281e-07, 3.334819213663e-06
2300,  3.855271785767e-08, 5.472089779079e-06
2400,  3.227795412382e-07, 2.020166379113e-05
2400,  4.290579960284e-08, 7.373125307186e-06
2500,  2.844926168038e-07, 8.890890700997e-06
2500,  4.771456842313e-08, 7.051372090228e-06
2600,  2.582414787982e-07, 1.312644591689e-05
2600,  5.372581347912e-08, 6.890583180486e-06
2700,  2.37716868193e-07, 2.456407593332e-06
2700,  6.27838581288e-08, 6.051499203963e-07
2800,  2.097427703464e-07, 4.018052023103e-06
2800,  7.120459162489e-08, 6.135141710217e-06
